category,word,weight
Афазия,неметь,0.5
Афазия,онемевать,0.5
Афазия,онеметь,0.5
Вестибулопатия,головокружительный,0.5
Восхищение/Впечатление,восхитительно,0.5
Восхищение/Впечатление,восхитительность,0.5
Восхищение/Впечатление,восхитительный,0.5
Восхищение/Впечатление,восхитить,0.5
Восхищение/Впечатление,восхититься,0.5
Восхищение/Впечатление,восхищать,0.5
Восхищение/Впечатление,восхищаться,0.5
Восхищение/Впечатление,восхищение,0.5
Восхищение/Впечатление,восхищенно,0.5
Восхищение/Впечатление,восхищенный,0.5
Восхищение/Впечатление,восхищённо,0.5
Восхищение/Впечатление,восхищённый,0.5
Восхищение/Впечатление,впечатлить,0.5
Восхищение/Впечатление,впечатлять,0.5
Восхищение/Впечатление,впечатляющий,0.5
Гнев,возмущать,0.5
Гнев,возмущаться,0.5
Гнев,возмущение,0.5
Гнев,негодование,0.5
Гнев,негодовать,0.5
Делиризация,обалдение,0.5
Делиризация,обалденно,0.5
Делиризация,обалденный,0.5
Делиризация,обалдеть,0.5
Делиризация,опупеть,0.5
Делиризация,офигенно,0.5
Делиризация,офигенный,0.5
Делиризация,офигительно,0.5
Делиризация,офигительный,0.5
Делиризация,офонареть,0.5
Делиризация,умопомрачение,0.5
Делиризация,умопомрачительно,0.5
Делиризация,умопомрачительность,0.5
Делиризация,умопомрачительный,0.5
Дисфункция,шок,1
Дисфункция,шокировать,1
Изумление,изумившись,3
Изумление,изумительно,3
Изумление,изумительность,3
Изумление,изумительный,3
Изумление,изумиться,3
Изумление,изумить,3
Изумление,изумление,3
Изумление,изумленно,3
Изумление,изумленный,3
Изумление,изумляться,3
Изумление,изумлять,3
Изумление,изумлённо,3
Изумление,изумлённый,3
Интерес,достопримечательный,1
Интерес,завлекательный,1
Интерес,заинтересованно,1
Интерес,заинтересованность,1
Интерес,заинтересованный,1
Интерес,замысловатость,1
Интерес,замысловатый,1
Интерес,занимательно,1
Интерес,занимательный,1
Интерес,занятно,1
Интерес,занятный,1
Интерес,затейливый,1
Интерес,затейный,1
Интерес,интерес,1
Интерес,интересно,1
Интерес,интересный,1
Интерес,интересовать,1
Интерес,интересоваться,1
Интерес,интриговать,1
Интерес,любопытно,1
Интерес,любопытный,1
Интерес,небезынтересный,1
Интерес,неинтересно,1
Интерес,прелюбопытный,1
Интерес,причудливость,1
Интерес,пытливо,1
Интерес,пытливость,1
Интерес,пытливый,1
Интерес,увлекательно,1
Интерес,увлекательный,1
Интерес,увлекать,1
Интерес,увлечение,1
Интерес,увлеченность,1
Интерес,увлечённость,1
Интерес,увлечь,1
Кинесика,ахать,0.5
Кинесика,ахнуть,0.5
Кинесика,аховый,0.5
Кинесика,вздрогнуть,0.5
Кинесика,воскликнуть,0.5
Кинесика,вскинуться,0.5
Кинесика,вскочить,0.5
Кинесика,вскрикнуть,0.5
Кинесика,выпучивать,0.5
Кинесика,выпучить,0.5
Кинесика,выпучиться,0.5
Кинесика,высморкаться,0.5
Кинесика,вытаращивать,0.5
Кинесика,вытаращить,0.5
Кинесика,громко заговорить,0.5
Кинесика,зажмуриться,0.5
Кинесика,замешкаться,0.5
Кинесика,зареветь,0.5
Кинесика,засмеяться,0.5
Кинесика,засопеть,0.5
Кинесика,захватить,0.5
Кинесика,захватывать,0.5
Кинесика,икнуть,0.5
Кинесика,кашлянуть,0.5
Кинесика,оглядеться,0.5
Кинесика,оглянуться,0.5
Кинесика,осмотреться,0.5
Кинесика,отстраниться,0.5
Кинесика,отшатнуться,0.5
Кинесика,охать,0.5
Кинесика,переглядываться,0.5
Кинесика,перекреститься,0.5
Кинесика,подпрыгнуть,0.5
Кинесика,покраснеть,0.5
Кинесика,попятиться,0.5
Кинесика,приподняться,0.5
Кинесика,присвистнуть,0.5
Кинесика,промычать,0.5
Кинесика,простонать,0.5
Кинесика,протянуть,0.5
Кинесика,прошептать,0.5
Кинесика,сощуриться,0.5
Кинесика,улыбнуться,0.5
Кинесика,усмехнуться,0.5
Междометия,ай,0.5
Междометия,ах,0.5
Междометия,ба,0.5
Междометия,вау,0.5
Междометия,да ну,0.5
Междометия,оа,0.5
Междометия,ого,0.5
Междометия,ого-го,0.5
Междометия,ой,0.5
Междометия,ой-ляля,0.5
Междометия,ойляля,0.5
Междометия,ох,0.5
Междометия,тю,0.5
Междометия,фу-ты,0.5
Междометия,фью,0.5
Неожиданность,вдруг,1.5
Неожиданность,внезапно,1.5
Неожиданность,внезапный,1.5
Неожиданность,всплыть,1.5
Неожиданность,выкинуть,1.5
Неожиданность,вынудить,1.5
Неожиданность,вынырнуть,1.5
Неожиданность,вырасти,1.5
Неожиданность,выходить,1.5
Неожиданность,грянуть,1.5
Неожиданность,загреметь,1.5
Неожиданность,застукать,1.5
Неожиданность,испариться,1.5
Неожиданность,нагрянуть,1.5
Неожиданность,наколоться,1.5
Неожиданность,нарваться,1.5
Неожиданность,наткнуться,1.5
Неожиданность,натолкнуться,1.5
Неожиданность,неожиданно,1.5
Неожиданность,неожиданность,1.5
Неожиданность,неожиданный,1.5
Неожиданность,обезоружить,1.5
Неожиданность,обернуться,1.5
Неожиданность,обрушиться,1.5
Неожиданность,озарить,1.5
Неожиданность,оказаться,1.5
Неожиданность,осенить,1.5
Неожиданность,отколоть,1.5
Неожиданность,откровение,1.5
Неожиданность,открытие,1.5
Неожиданность,отмочить,1.5
Неожиданность,перевернуть,1.5
Неожиданность,поворот,1.5
Неожиданность,подкрасться,1.5
Неожиданность,получаться,1.5
Неожиданность,привалить,1.5
Неожиданность,свалиться,1.5
Неожиданность,столкнуться,1.5
Неожиданность,сюрприз,1.5
Непонятность,загадка,0.5
Непонятность,загадочный,0.5
Непонятность,невыразимый,0.5
Непонятность,недоумевать,0.5
Непонятность,недоумевающий,0.5
Непонятность,недоумение,0.5
Непонятность,недоуменно,0.5
Непонятность,недоумённо,0.5
Непонятность,недоуменный,0.5
Непонятность,недоумённый,0.5
Непонятность,немыслимо,0.5
Непонятность,немыслимый,0.5
Непонятность,необъяснимость,0.5
Непонятность,необъяснимый,0.5
Непонятность,неописуемый,0.5
Непонятность,непонятливо,0.5
Непонятность,непонятливый,0.5
Непонятность,непонятный,0.5
Непонятность,несказанный,0.5
Непонятность,озадаченно,0.5
Непонятность,озадаченность,0.5
Непонятность,озадаченный,0.5
Непонятность,озадачиваться,0.5
Непонятность,озадачиться,0.5
Непонятность,таинственность,0.5
Непонятность,таинственный,0.5
Непонятность,тайна,0.5
Отрицание,абсурд,1
Отрицание,абсурдный,1
Отрицание,алогичный,1
Отрицание,бессмысленный,1
Отрицание,бессмыслица,1
Отрицание,глупость,1
Отрицание,глупый,1
Отрицание,не верить,1
Отрицание,неверие,1
Отрицание,невероятно,1
Отрицание,невероятность,1
Отрицание,невероятный,1
Отрицание,неимоверный,1
Отрицание,нелепица,1
Отрицание,нелепость,1
Отрицание,нелепый,1
Отрицание,неправда,1
Отрицание,неправдоподобный,1
Отрицание,парадокс,1
Отрицание,парадоксальный,1
Отрицание,смехотворный,1
Отрицание,смешной,1
Потеря зрения,ослепительный,0.5
Потеря зрения,ослепить,0.5
Потеря зрения,ослеплять,0.5
Потеря равновесия,замереть,0.5
Потеря равновесия,застыть,0.5
Потеря равновесия,обомлевать,0.5
Потеря равновесия,обомлеть,0.5
Потеря равновесия,окаменеть,0.5
Потеря равновесия,опешить,0.5
Потеря равновесия,остолбенелый,0.5
Потеря равновесия,остолбенение,0.5
Потеря равновесия,остолбенеть,0.5
Потеря равновесия,оторопелый,0.5
Потеря равновесия,оторопеть,0.5
Потеря равновесия,оторопь,0.5
Потеря равновесия,оцепенение,0.5
Потеря равновесия,сногсшибательный,0.5
Религия,блаженный,0.5
Религия,божественный,0.5
Смерть,поражать,0.5
Смерть,поражаться,0.5
Смерть,поражающий,0.5
Смерть,пораженный,0.5
Смерть,поражённый,0.5
Смерть,поразительность,0.5
Смерть,поразительный,0.5
Смерть,поразить,0.5
Смерть,поразиться,0.5
Смерть,разительность,0.5
Смерть,разительный,0.5
Смерть,сражать,0.5
Смерть,сразить,0.5
Смерть,убить,0.5
Смущение,замешательство,0.5
Смущение,потеряться,0.5
Смущение,растерянность,0.5
Смущение,растерянный,0.5
Смущение,растеряться,0.5
Смущение,сконфуженный,0.5
Смущение,смущать,0.5
Смущение,смущаться,0.5
Смущение,смущение,0.5
Смущение,смущенно,0.5
Смущение,смущенный,0.5
Смущение,смущённый,0.5
Смущение,смущённо,0.5
Странность/Отклонения,безумец,1.5
Странность/Отклонения,безумие,1.5
Странность/Отклонения,бесподобно,1.5
Странность/Отклонения,бесподобный,1.5
Странность/Отклонения,беспрецедентный,1.5
Странность/Отклонения,беспримерный,1.5
Странность/Отклонения,бзик,1.5
Странность/Отклонения,выделываться,1.5
Странность/Отклонения,выкидон,1.5
Странность/Отклонения,выстебываться,1.5
Странность/Отклонения,дикий,1.5
Странность/Отклонения,диковинка,1.5
Странность/Отклонения,диковинный,1.5
Странность/Отклонения,дикость,1.5
Странность/Отклонения,дурак,1.5
Странность/Отклонения,дурить,1.5
Странность/Отклонения,единственный,1.5
Странность/Отклонения,завихрение,1.5
Странность/Отклонения,закидон,1.5
Странность/Отклонения,замечательный,1.5
Странность/Отклонения,замысловатый,1.5
Странность/Отклонения,заскок,1.5
Странность/Отклонения,исключительность,1.5
Странность/Отклонения,исключительный,1.5
Странность/Отклонения,колоссально,1.5
Странность/Отклонения,куролесить,1.5
Странность/Отклонения,мерещиться,1.5
Странность/Отклонения,мечта,1.5
Странность/Отклонения,мирово,1.5
Странность/Отклонения,небывалый,1.5
Странность/Отклонения,небывальщина,1.5
Странность/Отклонения,невиданный,1.5
Странность/Отклонения,неземной,1.5
Странность/Отклонения,ненормальный,1.5
Странность/Отклонения,необыкновенный,1.5
Странность/Отклонения,необычайный,1.5
Странность/Отклонения,необычный,1.5
Странность/Отклонения,неординарный,1.5
Странность/Отклонения,неповторимый,1.5
Странность/Отклонения,непревзойденность,1.5
